CountryIsoCode,Country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
AGO,Angola,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2021,12.168,
AGO,Angola,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2022,12.168,
ALB,Albania,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2015,15.912,
ALB,Albania,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2016,15.449,
ALB,Albania,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2017,15.326,
ALB,Albania,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2018,15.108,
ALB,Albania,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,15.178,
ALB,Albania,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,14.76,
ALB,Albania,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2021,14.572,
ALB,Albania,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2022,14.487,
ALB,Albania,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2015,12016.281,
ALB,Albania,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2016,12484.607,
ALB,Albania,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2017,12802.176,
ALB,Albania,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2018,13302.733,
ALB,Albania,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,13481.972,
ALB,Albania,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2020,13069.128,
ALB,Albania,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2021,14399.78,
ALB,Albania,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2022,15293.327,
ALB,Albania,HDI,Human Development Index,,hdi,Human Development Index (value),2015,0.797,
ALB,Albania,HDI,Human Development Index,,hdi,Human Development Index (value),2016,0.795,
ALB,Albania,HDI,Human Development Index,,hdi,Human Development Index (value),2017,0.796,
ALB,Albania,HDI,Human Development Index,,hdi,Human Development Index (value),2018,0.797,
ALB,Albania,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.8,
ALB,Albania,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.784,
ALB,Albania,HDI,Human Development Index,,hdi,Human Development Index (value),2021,0.785,
ALB,Albania,HDI,Human Development Index,,hdi,Human Development Index (value),2022,0.789,
ALB,Albania,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2015,78.644,
ALB,Albania,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2016,78.86,
ALB,Albania,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2017,79.047,
ALB,Albania,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2018,79.184,
ALB,Albania,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,79.282,
